,Country,City,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness,Date
0,RU,Pochinki,54.6988,44.8668,277.8,61,5.62,100,1636056232
1,PF,Rikitea,-23.1203,-134.9692,296.05,80,4.5,100,1636056233
2,IN,Udhampur,32.9333,75.1333,287.06,51,3.53,24,1636056233
3,ZA,Kruisfontein,-34.0033,24.7314,287.53,87,0.09,58,1636056234
4,VE,San Cristobal,7.7669,-72.225,300.25,59,0.77,99,1636056234
5,CA,Thompson,55.7435,-97.8558,277.21,49,2.39,84,1636056235
6,GB,Portree,57.4129,-6.1942,282.88,97,2.54,100,1636056235
7,CI,Daloa,6.8774,-6.4502,297.94,73,1.04,9,1636056236
8,ZA,Port Alfred,-33.5906,26.891,292.42,86,0.96,84,1636056236
9,RU,Koslan,63.4564,48.8989,273.87,98,3.55,100,1636056237
10,RU,Lavrentiya,65.5833,-171.0,263.1,83,5.05,100,1636056237
11,UZ,Gazli,40.1333,63.45,273.06,20,6.51,0,1636056238
12,US,Albany,42.6001,-73.9662,281.63,58,0.14,100,1636056233
13,GF,Cayenne,4.9333,-52.3333,303.17,80,1.79,20,1636056238
14,RU,Dikson,73.5069,80.5464,263.73,89,5.01,11,1636056239
15,CN,Nanchang,28.6833,115.8833,291.91,94,0.97,100,1636056006
16,MV,Dhidhdhoo,6.8833,73.1,300.89,78,7.34,100,1636056240
17,AR,Comodoro Rivadavia,-45.8667,-67.5,288.45,38,0.88,4,1636056001
18,NZ,Te Anau,-45.4167,167.7167,282.27,81,0.21,93,1636056240
19,RU,Saskylakh,71.9167,114.0833,257.62,88,7.05,100,1636056241
20,US,Kapaa,22.0752,-159.319,300.14,80,3.13,75,1636056242
21,CK,Avarua,-21.2078,-159.775,299.18,65,3.09,40,1636056243
22,BR,Arraial do Cabo,-22.9661,-42.0278,297.07,83,4.12,75,1636056244
23,IT,Polignano a Mare,40.9959,17.2159,295.2,86,3.86,100,1636056244
24,RU,Khatanga,71.9667,102.5,268.38,94,10.78,100,1636056245
25,BR,Caravelas,-17.7125,-39.2481,298.58,77,3.12,18,1636056246
26,US,Half Moon Bay,37.4636,-122.4286,293.64,75,1.34,20,1636056111
27,ZA,Cape Town,-33.9258,18.4232,289.97,85,0.45,99,1636056112
28,PT,Ribeira Grande,38.5167,-28.7,294.37,88,8.23,75,1636056247
29,PF,Atuona,-9.8,-139.0333,298.62,65,6.88,36,1636056247
30,SJ,Longyearbyen,78.2186,15.6401,266.06,79,3.6,75,1636056248
31,JM,Lucea,18.451,-78.1736,303.63,72,5.32,49,1636056249
32,NZ,Ahipara,-35.1667,173.1667,288.46,92,2.64,100,1636056249
33,CL,Punta Arenas,-53.15,-70.9167,283.21,53,13.38,75,1636056177
34,MV,Kudahuvadhoo,2.6708,72.8944,301.13,78,7.3,100,1636056250
35,NE,Filingué,14.3521,3.3168,306.54,18,2.81,2,1636056251
36,GL,Qaanaaq,77.484,-69.3632,258.23,61,4.1,0,1636056251
37,RE,Saint-Joseph,-21.3667,55.6167,295.36,82,2.31,15,1636056252
38,NZ,Bluff,-46.6,168.3333,285.26,81,1.17,100,1636056252
39,CA,Yellowknife,62.456,-114.3525,276.64,80,2.68,0,1636056164
40,PE,Hualmay,-11.0964,-77.6139,293.47,72,5.24,12,1636056253
41,US,Pierre,44.3683,-100.351,287.75,53,0.89,2,1636056099
42,RU,Chokurdakh,70.6333,147.9167,248.49,97,3.56,63,1636056254
43,US,Hamilton,39.1834,-84.5333,285.02,45,0.45,40,1636056255
44,US,San Patricio,28.017,-97.5169,289.09,67,6.26,89,1636056255
45,AU,Flinders,-34.5833,150.8552,291.03,94,0.45,100,1636056256
46,GL,Narsaq,60.9167,-46.05,274.27,98,1.65,100,1636056256
47,AU,Busselton,-33.65,115.3333,283.2,81,1.82,80,1636056257
48,NC,Tadine,-21.55,167.8833,295.01,63,5.8,48,1636056258
49,CL,Lebu,-37.6167,-73.65,285.62,57,8.81,0,1636056258
50,AU,New Norfolk,-42.7826,147.0587,281.32,79,0.69,0,1636056259
51,MY,George Town,5.4112,100.3354,299.11,92,1.03,20,1636056046
52,SL,Mattru,7.6244,-11.8332,297.16,94,1.46,30,1636056260
53,US,Hilo,19.7297,-155.09,302.75,86,2.24,5,1636056050
54,MU,Mahébourg,-20.4081,57.7,294.96,76,3.44,0,1636056260
55,CN,Alihe,50.5667,123.7167,271.73,91,1.1,100,1636056261
56,NA,Otjimbingwe,-22.35,16.1333,297.27,26,2.55,10,1636056261
57,TO,Pangai,-19.8,-174.35,298.76,82,7.76,100,1636056262
58,EG,Aswān,24.0934,32.907,300.23,27,4.9,0,1636056262
59,CA,Foam Lake,51.65,-103.5343,283.29,49,4.37,100,1636056263
60,ZA,Bredasdorp,-34.5322,20.0403,288.31,82,2.19,100,1636056263
61,ZA,Hermanus,-34.4187,19.2345,289.76,86,3.4,98,1636056264
62,US,Pacific Grove,36.6177,-121.9166,294.5,80,0.89,1,1636056241
63,CA,Port Hardy,50.6996,-127.4199,283.99,96,4.38,100,1636056047
64,MA,Tiznit Province,29.5833,-9.5,287.39,86,4.14,95,1636056265
65,MX,Guerrero Negro,27.9769,-114.0611,296.75,58,4.44,3,1636056265
66,RU,Mikhaylovka,50.06,43.2379,283.2,62,5.2,100,1636056266
67,LK,Hambantota,6.1241,81.1185,299.33,82,5.69,93,1636056266
68,US,Redlands,34.0556,-117.1825,304.94,29,2.06,1,1636056081
69,CL,Monte Patria,-30.6919,-70.9467,297.45,34,3.65,100,1636056267
70,AR,Mercedes,-34.6515,-59.4307,303.16,41,3.84,83,1636056268
71,RO,Asău,46.4333,26.4,283.86,63,2.43,16,1636056268
72,BR,Touros,-5.1989,-35.4608,301.65,73,4.95,39,1636056269
73,PE,Pangoa,-12.1167,-73.0,303.63,46,3.29,68,1636056269
74,NO,Sistranda,63.7256,8.834,280.87,83,8.82,100,1636056270
75,MG,Antalaha,-14.9003,50.2788,294.68,88,1.52,9,1636056270
76,NZ,Tuatapere,-46.1333,167.6833,285.27,85,0.82,99,1636056271
77,ZA,De Aar,-30.6497,24.0123,293.56,14,2.29,0,1636056271
78,AR,Ushuaia,-54.8,-68.3,282.96,57,16.46,75,1636056272
79,KI,Butaritari,3.0707,172.7902,301.19,75,7.29,13,1636056272
80,NA,Lüderitz,-26.6481,15.1594,289.25,78,7.34,74,1636056273
81,NU,Alofi,-19.0595,-169.9187,300.09,74,5.14,75,1636056273
82,FR,Arrondissement de Troyes,48.3333,4.0833,281.18,93,4.12,90,1636056041
83,ML,Taoudenni,22.6783,-3.9836,304.03,16,4.1,2,1636056274
84,BR,Morros,-9.4467,-46.3003,297.81,81,3.4,98,1636056275
85,PG,Samarai,-10.6167,150.6667,300.07,81,4.07,43,1636056275
86,MU,Souillac,-20.5167,57.5167,295.02,76,3.4,0,1636056276
87,US,Barrow,71.2906,-156.7887,267.16,79,7.2,90,1636056276
88,RU,Toora-Khem,52.4675,96.11,248.51,97,0.32,31,1636056277
89,NZ,Mataura,-46.1927,168.8643,285.08,65,0.2,100,1636056277
90,BR,Jutaí,-5.1833,-68.9,301.55,74,1.27,99,1636056278
91,CA,Whitehorse,60.7161,-135.0538,272.43,83,0.31,100,1636056072
92,MV,Hithadhoo,-0.6,73.0833,301.05,75,5.61,100,1636056279
93,CA,Clyde River,70.4692,-68.5914,267.45,80,11.62,100,1636056279
94,JP,Shingū,33.7333,135.9833,284.53,80,3.31,4,1636056280
95,MG,Morondava,-20.2833,44.2833,298.61,81,7.78,0,1636056280
96,KZ,Emba,48.8264,58.1442,268.7,35,3.61,0,1636056281
97,PG,Vanimo,-2.6741,141.3028,297.92,90,1.91,100,1636056282
98,RU,Nikolskoye,59.7035,30.7861,280.38,95,2.61,49,1636056282
99,ID,Padang,-0.9492,100.3543,297.85,88,0.62,100,1636056283
100,PT,Ponta do Sol,32.6667,-17.1,293.55,66,3.25,61,1636056283
101,GL,Upernavik,72.7868,-56.1549,269.34,88,5.07,100,1636056284
102,AO,Luanda,-8.8368,13.2343,298.27,80,6.28,100,1636056083
103,RU,Tiksi,71.6872,128.8694,256.87,75,11.35,100,1636056285
104,VN,Phan Thiet,10.9333,108.1,297.35,88,1.98,98,1636056234
105,RU,Staraya Akkermanovka,51.2467,58.2391,268.66,35,2.3,0,1636056285
106,CV,São Filipe,14.8961,-24.4956,299.79,72,2.28,42,1636056286
107,IS,Husavik,66.0449,-17.3389,271.79,95,2.0,97,1636056286
108,NO,Florø,61.5996,5.0328,279.8,93,2.57,75,1636056287
109,AU,Hobart,-42.8794,147.3294,283.21,90,1.79,20,1636056003
110,AZ,Qax,41.4225,46.9242,284.7,88,1.35,100,1636056287
111,GF,Sinnamary,5.3833,-52.95,301.58,70,4.05,84,1636056288
112,BR,Itarema,-2.9248,-39.9167,301.26,71,6.32,65,1636056288
113,US,Jamestown,42.097,-79.2353,279.87,54,1.34,90,1636056128
114,MW,Lilongwe,-13.9669,33.7873,300.12,34,1.65,40,1636056289
115,RU,Vostok,46.4856,135.8833,275.27,76,1.16,82,1636056290
116,MM,Mogok,22.9167,96.5,288.81,94,0.69,62,1636056290
117,ID,Pringsewu,-5.3582,104.9744,296.35,94,1.15,100,1636056291
118,BO,San Matías,-16.3667,-58.4,306.9,41,2.09,73,1636056292
119,TD,Abéché,13.8292,20.8324,303.51,19,3.26,100,1636056292
120,FO,Klaksvík,62.2266,-6.589,280.66,73,10.19,91,1636056294
121,JP,Katsuura,35.1333,140.3,287.21,70,4.55,56,1636056297
122,FR,Hyères,43.1167,6.1167,285.22,52,3.6,0,1636056298
123,GH,Takoradze,4.8845,-1.7554,299.36,84,3.11,5,1636056298
124,CN,Korla,41.7597,86.1469,275.12,37,7.29,100,1636056029
125,SS,Raja,8.4596,25.678,297.34,69,0.8,72,1636056021
126,AR,Mar del Plata,-38.0023,-57.5575,292.16,99,6.71,90,1636056083
127,EC,Puerto Ayora,-0.7393,-90.3518,297.13,72,5.22,56,1636056299
128,SA,Najrān,17.4924,44.1277,291.21,27,0.21,0,1636056300
129,TO,Vaini,-21.2,-175.2,299.24,94,3.09,75,1636056301
130,SA,Buraidah,26.326,43.975,294.62,41,4.89,0,1636056302
131,BR,Santa Isabel Rio Negro,-0.4139,-65.0192,303.38,61,1.91,95,1636056303
132,BR,Coari,-4.085,-63.1414,302.57,71,0.6,97,1636056303
133,CA,Norman Wells,65.282,-126.8329,269.49,81,0.66,6,1636056304
134,NZ,Dunedin,-45.8742,170.5036,285.04,59,0.41,48,1636056305
135,GF,Grand-Santi,4.25,-54.3833,303.79,52,1.66,98,1636056306
136,CA,Saint-Augustin,51.226,-58.6502,276.69,48,3.6,37,1636056306
137,GL,Tasiilaq,65.6145,-37.6368,269.12,86,1.76,100,1636056307
138,PF,Faanui,-16.4833,-151.75,299.14,76,4.68,18,1636056307
139,RU,Plastun,44.7561,136.2939,277.65,82,1.57,28,1636056308
140,CN,Yumen,40.2833,97.2,271.13,52,7.76,100,1636056309
141,KI,Bairiki Village,1.3292,172.9752,301.15,78,4.63,75,1636056309
142,PT,Barcelos,41.5388,-8.6151,284.73,78,3.53,1,1636056310
143,CN,Zhuhai,22.2769,113.5678,298.74,88,3.09,40,1636056310
144,PY,Fuerte Olimpo,-21.0415,-57.8738,312.32,22,3.92,99,1636056311
145,US,Bethel,41.3712,-73.414,283.09,49,1.65,100,1636056312
146,RU,Leningradskiy,69.3833,178.4167,250.2,95,2.52,93,1636056312
147,CA,Pangnirtung,66.1451,-65.7125,264.54,76,2.41,100,1636056313
148,ID,Bima,-8.4667,118.7167,299.17,83,0.93,67,1636056313
149,ES,Los Llanos de Aridane,28.6585,-17.9182,293.01,90,3.09,75,1636056314
150,AU,Innisfail,-17.5333,146.0333,296.84,82,2.82,66,1636056315
151,ZA,Saldanha,-33.0117,17.9442,289.73,86,3.72,100,1636056315
152,LY,Nālūt,30.3333,10.85,297.94,18,2.13,26,1636056316
153,AU,Carnarvon,-24.8667,113.6333,291.19,72,7.72,75,1636056316
154,PT,Peniche,39.3558,-9.3811,287.1,76,9.65,0,1636056317
155,MU,Bambous Virieux,-20.3428,57.7575,294.94,76,3.57,0,1636056317
156,JP,Naze,28.3667,129.4833,291.53,66,4.35,6,1636056318
157,PG,Lorengau,-2.0226,147.2712,299.93,83,3.28,100,1636056318
158,RU,Mugur-Aksy,50.35,90.5,247.9,72,3.21,15,1636056319
159,CN,Tengzhou,35.0771,117.1518,286.97,81,3.53,100,1636056319
160,AU,Yulara,-25.2406,130.9889,296.75,49,3.57,66,1636056320
161,ML,Araouane,18.9048,-3.5265,304.0,15,2.14,0,1636056320
162,MU,Cap Malheureux,-19.9842,57.6142,295.08,76,0.89,0,1636056073
163,NP,Jumla,29.2747,82.1838,277.56,66,1.8,0,1636056185
164,JP,Hasaki,35.7333,140.8333,283.37,55,6.46,41,1636056321
165,AU,Alice Springs,-23.7,133.8833,292.9,73,1.03,95,1636056322
166,NO,Mehamn,71.0357,27.8492,275.12,55,1.03,75,1636056322
167,SO,Jamame,0.0722,42.7506,298.44,85,4.05,34,1636056323
168,RU,Pevek,69.7008,170.3133,249.24,95,2.98,99,1636056324
169,NZ,Waipawa,-41.4122,175.5153,285.94,92,3.5,100,1636056324
170,GL,Maniitsoq,65.4167,-52.9,272.84,58,6.61,100,1636056325
171,BO,Potosí,-19.5836,-65.7531,285.85,47,6.62,85,1636056301
172,YT,Chirongui,-12.9319,45.1483,300.11,78,4.25,7,1636056325
173,PT,Lagoa,39.05,-27.9833,292.56,86,12.0,100,1636056326
174,MX,Rodolfo Sánchez Taboada,31.7167,-116.5667,296.03,83,0.89,5,1636056327
175,PG,Namatanai,-3.6667,152.4333,299.79,76,4.76,87,1636056327
176,BR,Cururupu,-1.8283,-44.8683,301.93,64,2.13,80,1636056328
177,ZA,Port Elizabeth,-33.918,25.5701,288.76,81,1.9,21,1636056302
178,ID,Katobu,-4.9408,122.5276,297.56,91,1.26,100,1636056328
179,RU,Tuapse,44.1125,39.0742,288.23,79,1.39,48,1636056329
180,CF,Ouadda,8.0777,22.4007,295.4,77,1.16,98,1636056329
181,RU,Ozernovskiy,51.5,156.5167,274.52,75,2.12,100,1636056330
182,SB,Buala,-8.145,159.5921,300.41,77,3.15,99,1636056330
183,IS,Olafsvik,64.8945,-23.7142,279.41,81,7.25,99,1636056331
184,KE,Marsabit,2.3284,37.9899,296.63,47,7.56,97,1636056331
185,AU,Esperance,-33.8667,121.9,289.06,89,6.59,97,1636056332
186,AU,Codrington,-38.2667,141.9667,281.21,96,1.87,13,1636056332
187,AU,Port Hedland,-20.3167,118.5667,295.18,83,3.09,14,1636056333
188,IE,Killybegs,54.6333,-8.45,282.99,79,5.08,100,1636056334
189,BR,Camaquã,-30.8511,-51.8122,297.67,71,2.57,67,1636056334
190,RU,Antropovo,58.3988,43.0066,279.32,86,5.13,100,1636056335
191,TH,Chaiyaphum,15.75,102.0,295.86,85,1.52,15,1636056335
192,BR,Aquiraz,-3.9014,-38.3911,301.2,74,4.65,79,1636056336
193,BR,Barra de São Francisco,-18.755,-40.8908,299.85,77,1.56,65,1636056336
