,Country,City,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness,Date
0,AU,Charters Towers,-20.1,146.2667,292.92,86,3.41,0,1636045724
1,GF,Iracoubo,5.4802,-53.2011,302.83,63,4.28,47,1636045729
2,AU,Esperance,-33.8667,121.9,290.06,94,4.02,19,1636045729
3,CA,Fort Nelson,58.8053,-122.7002,273.81,81,1.02,97,1636045481
4,BR,Cidreira,-30.1811,-50.2056,295.74,83,4.45,32,1636045574
5,MX,Cabo San Lucas,22.8909,-109.9124,303.18,45,0.0,1,1636045502
6,AU,New Norfolk,-42.7826,147.0587,281.9,75,0.93,0,1636045506
7,RU,Leningradskiy,69.3833,178.4167,250.21,93,2.69,50,1636045731
8,RU,Parabel',58.6978,81.4825,264.91,86,5.24,100,1636045732
9,CN,Yinchuan,38.4681,106.2731,283.55,59,0.24,8,1636045732
10,BR,Santa Maria,-29.6842,-53.8069,301.96,52,2.82,0,1636045733
11,US,Jamestown,42.097,-79.2353,279.43,67,1.34,90,1636045734
12,BR,Nísia Floresta,-6.0911,-35.2086,304.6,52,5.34,21,1636045735
13,CA,Campbell River,50.0163,-125.2446,284.59,97,1.34,100,1636045609
14,PE,Huarmey,-10.0681,-78.1522,294.28,70,4.56,41,1636045737
15,PF,Faanui,-16.4833,-151.75,299.02,75,4.82,23,1636045581
16,RU,Novouzensk,50.4592,48.1431,278.72,30,6.26,100,1636045738
17,PF,Atuona,-9.8,-139.0333,298.21,67,7.17,75,1636045517
18,US,Greenwood,34.1668,-82.1165,283.01,70,0.89,90,1636045670
19,RU,Abrau-Dyurso,44.69,37.59,284.85,80,1.27,15,1636045739
20,RU,Provideniya,64.3833,-173.3,263.49,79,4.29,99,1636045635
21,PF,Rikitea,-23.1203,-134.9692,296.29,77,6.06,100,1636045740
22,NO,Rena,61.1348,11.3641,277.49,95,1.44,93,1636045741
23,KI,Butaritari,3.0707,172.7902,301.26,74,7.03,10,1636045578
24,NZ,Mataura,-46.1927,168.8643,281.19,93,0.36,81,1636045742
25,ZA,Cape Town,-33.9258,18.4232,293.34,74,2.15,100,1636045637
26,IT,Carbonia,39.1672,8.5222,290.92,66,1.18,51,1636045744
27,US,Albany,42.6001,-73.9662,281.93,62,0.61,34,1636045645
28,BR,Oeiras,-7.0253,-42.1311,311.89,24,2.1,100,1636045744
29,RU,Dikson,73.5069,80.5464,268.48,95,8.17,100,1636045745
30,RU,Chokurdakh,70.6333,147.9167,249.48,96,3.28,90,1636045746
31,IN,Kavaratti,10.5669,72.642,300.55,80,6.05,100,1636045746
32,KZ,Batamshinskiy,50.5594,58.2747,268.43,35,3.45,0,1636045747
33,BR,Castro,-24.7911,-50.0119,299.23,53,3.37,28,1636045747
34,VE,Cabimas,10.3883,-71.4399,303.22,63,3.41,89,1636045748
35,RU,Kondinskoye,59.6481,67.41,271.1,84,5.94,41,1636045749
